iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,
Fund Holdings as of,25-Apr-25,,,,,,,,,,,,,
Inception Date,26-Mar-08,,,,,,,,,,,,,
Shares Outstanding,"105,400,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"144,374,256.06",2.44,"144,374,256.06","5,286,000.00",27.31,Taiwan,Taiwan Stock Exchange,USD,32.51,TWD,10-Nov-94
700,TENCENT HOLDINGS LTD,Communication,Equity,"85,747,227.29",1.45,"85,747,227.29","1,390,900.00",61.65,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
SAP,SAP,Information Technology,Equity,"62,513,113.71",1.06,"62,513,113.71","224,716.00",278.19,Germany,Xetra,USD,0.88,EUR,-
NESN,NESTLE SA,Consumer Staples,Equity,"58,290,180.13",0.98,"58,290,180.13","564,104.00",103.33,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
ASML,ASML HOLDING NV,Information Technology,Equity,"56,547,215.38",0.96,"56,547,215.38","84,463.00",669.49,Netherlands,Euronext Amsterdam,USD,0.88,EUR,-
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,Equity,"52,477,245.07",0.89,"52,477,245.07","3,521,264.00",14.9,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"47,780,534.14",0.81,"47,780,534.14","151,378.00",315.64,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
NOVN,NOVARTIS AG,Health Care,Equity,"47,383,379.72",0.8,"47,383,379.72","424,858.00",111.53,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
AZN,ASTRAZENECA PLC,Health Care,Equity,"45,781,346.47",0.77,"45,781,346.47","330,770.00",138.41,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
SHEL,SHELL PLC,Energy,Equity,"43,313,765.74",0.73,"43,313,765.74","1,320,858.00",32.79,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"43,105,209.86",0.73,"43,105,209.86","3,883,601.00",11.1,United Kingdom,London Stock Exchange,USD,0.75,GBP,01-Jan-98
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"42,441,694.25",0.72,"42,441,694.25","690,732.00",61.44,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.57,DKK,-
