iShares MSCI ACWI ex U.S. ETF
Fund Holdings as of,"Apr 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"104,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","135,836,674.46","2.39","135,836,674.46","5,216,000.00","26.04","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","80,935,612.26","1.43","80,935,612.26","1,372,000.00","58.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","59,646,137.30","1.05","59,646,137.30","555,886.00","107.30","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"SAP","SAP","Information Technology","Equity","56,809,463.62","1.00","56,809,463.62","221,461.00","256.52","Germany","Xetra","USD","0.88","EUR","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","53,372,457.99","0.94","53,372,457.99","83,343.00","640.39","Netherlands","Euronext Amsterdam","USD","0.88","EUR","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","48,584,709.59","0.86","48,584,709.59","3,470,164.00","14.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","46,488,058.54","0.82","46,488,058.54","149,131.00","311.73","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"NOVN","NOVARTIS AG","Health Care","Equity","46,259,820.10","0.82","46,259,820.10","418,523.00","110.53","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","43,727,205.84","0.77","43,727,205.84","326,381.00","133.98","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","43,642,719.20","0.77","43,642,719.20","681,562.00","64.03","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.58","DKK","-"
"SHEL","SHELL PLC","Energy","Equity","42,066,487.35","0.74","42,066,487.35","1,303,316.00","32.28","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","40,010,987.05","0.71","40,010,987.05","3,832,018.00","10.44","United Kingdom","London Stock Exchange","USD","0.76","GBP","Jan 01, 1998"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","39,250,639.06","0.69","39,250,639.06","1,010,793.00","38.83","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","36,314,756.73","0.64","36,314,756.73","353,711.00","102.67","Australia","Asx - All Markets","USD","1.57","AUD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","35,845,446.49","0.63","35,845,446.49","2,040,400.00","17.57","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","34,686,010.77","0.61","34,686,010.77","299,124.00","115.96","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"SIE","SIEMENS N AG","Industrials","Equity","34,279,135.03","0.60","34,279,135.03","161,483.00","212.28","Germany","Xetra","USD","0.88","EUR","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","33,195,806.91","0.59","33,195,806.91","521,945.00","63.60","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"ALV","ALLIANZ","Financials","Equity","32,455,828.55","0.57","32,455,828.55","82,120.00","395.22","Germany","Xetra","USD","0.88","EUR","-"
"MC","LVMH","Consumer Discretionary","Equity","32,202,707.86","0.57","32,202,707.86","58,425.00","551.18","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","32,134,252.57","0.57","32,134,252.57","1,329,300.00","24.17","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","29,166,699.48","0.51","29,166,699.48","2,469,100.00","11.81","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","27,092,740.57","0.48","27,092,740.57","116,265.00","233.03","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"TTE","TOTALENERGIES","Energy","Equity","26,893,198.78","0.47","26,893,198.78","458,730.00","58.63","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","26,703,682.89","0.47","26,703,682.89","1,195,640.00","22.33","India","National Stock Exchange Of India","USD","85.37","INR","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","26,694,703.79","0.47","26,694,703.79","740,741.00","36.04","Germany","Xetra","USD","0.88","EUR","-"
"BHP","BHP GROUP LTD","Materials","Equity","24,895,662.73","0.44","24,895,662.73","1,071,850.00","23.23","Australia","Asx - All Markets","USD","1.57","AUD","-"
"SAN","SANOFI SA","Health Care","Equity","24,889,643.59","0.44","24,889,643.59","241,740.00","102.96","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","24,178,055.52","0.43","24,178,055.52","123,001.00","196.57","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"6501","HITACHI LTD","Industrials","Equity","23,672,527.07","0.42","23,672,527.07","1,001,400.00","23.64","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"TD","TORONTO DOMINION","Financials","Equity","22,425,410.62","0.40","22,425,410.62","370,548.00","60.52","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"IBE","IBERDROLA SA","Utilities","Equity","22,294,972.27","0.39","22,294,972.27","1,270,112.00","17.55","Spain","Bolsa De Madrid","USD","0.88","EUR","-"
"SAN","BANCO SANTANDER SA","Financials","Equity","21,723,813.87","0.38","21,723,813.87","3,220,983.00","6.74","Spain","Bolsa De Madrid","USD","0.88","EUR","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","21,449,558.40","0.38","21,449,558.40","256,524.00","83.62","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","21,292,130.74","0.38","21,292,130.74","31,187.00","682.72","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"ENB","ENBRIDGE INC","Energy","Equity","20,859,780.18","0.37","20,859,780.18","460,778.00","45.27","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"REL","RELX PLC","Industrials","Equity","20,630,414.93","0.36","20,630,414.93","395,774.00","52.13","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"OR","LOREAL SA","Consumer Staples","Equity","19,842,017.27","0.35","19,842,017.27","51,137.00","388.02","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","19,409,355.00","0.34","19,409,355.00","28,500.00","681.03","Germany","Xetra","USD","0.88","EUR","-"
