SYM,Company,,Sector,PBR,Price,Qty,NAV,% PTF,% Daily,% MTD,% QTD,% YTD,% 6M,% 52WKS,% Divy,P&L,Next Earnings,Stock Rating,Stock Type
CB,CHUBB LIMITED,,,$199.04, $ ,18, $ ,%,%,%,%,%,%,%,%,%,04/22/25,1,Comp
KWEB,KRANESHARES CSI CHINA INTERNET ETF,,,$29.88, $ ,132, $ ,%,%,%,%,%,%,%,%,%, ,3,Cat
ATRL,ATKINSREALIS GROUP INC,,,$33.27, $ ,86, $ ,%,%,%,%,%,%,%,%,%,05/15/25,2,Cat
TT,TRANE TECHNOLOGIES PLC,,,$141.06, $ ,12, $ ,%,%,%,%,%,%,%,%,%,04/28/25,1,Comp
ESLOY,ESSILORLUXOTTICA,,,$69.20, $ ,28, $ ,%,%,%,%,%,%,%,%,%,07/28/25,1,Comp
NSRGY,NESTLE N,,,$92.04, $ ,34, $ ,%,%,%,%,%,%,%,%,%,07/28/25,4,Comp
LNSTY,LONDON STK EXCHANGE GROUP AMER,,,$29.84, $ ,98, $ ,%,%,%,%,%,%,%,%,%,07/31/25,2,Cat
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC ADS,,,$12.64, $ ,300, $ ,%,%,%,%,%,%,%,%,%,05/13/25,2,Cycl
SDZNY,SANDOZ GROUP AG,,,$32.62, $ ,84, $ ,%,%,%,%,%,%,%,%,%,2005-09-25,2,Comp
CAN,ACCENTURE PLC (IRELAND),,,$302.51, $ ,10, $ ,%,%,%,%,%,%,%,%,%,06/20/25,1,Comp
ETN,EATON CORP PLC (IRELAND),,,$280.20, $ ,10, $ ,%,%,%,%,%,%,%,%,%,04/28/25,1,Comp
ASML,ASML HOLDING NV NY REG SHS,,,$367.67, $ ,4, $ ,%,%,%,%,%,%,%,%,%,04/15/25,1,Comp
BYDDY,BYD COMPANY LTD,,,$89.38, $ ,26, $ ,%,%,%,%,%,%,%,%,%,04/28/25,2,Cycl
HESAY,HERMES INTL S A,,,$228.00, $ ,6, $ ,%,%,%,%,%,%,%,%,%,07/30/25,1,Comp
LVMHF,L.V.M.H.,,,$260.62, $ ,2, $ ,%,%,%,%,%,%,%,%,%,07/21/25,1,Comp
