Fund Holdings as of,25-Apr-25,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
RY,ROYAL BANK OF CANADA,Financials,Equity,"972,845,706.20",6.54,"972,845,706.20","5,957,414.00",163.3,Canada,Toronto Stock Exchange,CAD,1,CAD
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,"689,498,279.70",4.63,"689,498,279.70","5,119,910.00",134.67,Canada,Toronto Stock Exchange,CAD,1,CAD
TD,TORONTO DOMINION,Financials,Equity,"635,347,006.77",4.27,"635,347,006.77","7,373,181.00",86.17,Canada,Toronto Stock Exchange,CAD,1,CAD
ENB,ENBRIDGE INC,Energy,Equity,"587,506,055.48",3.95,"587,506,055.48","9,178,348.00",64.01,Canada,Toronto Stock Exchange,CAD,1,CAD
BN,BROOKFIELD CORP CLASS A,Financials,Equity,"445,925,876.58",3,"445,925,876.58","6,040,719.00",73.82,Canada,Toronto Stock Exchange,CAD,1,CAD
CSU,CONSTELLATION SOFTWARE INC,Information Technology,Equity,"405,376,747.51",2.72,"405,376,747.51","83,011.00","4,883.41",Canada,Toronto Stock Exchange,CAD,1,CAD
BMO,BANK OF MONTREAL,Financials,Equity,"404,384,351.60",2.72,"404,384,351.60","3,070,030.00",131.72,Canada,Toronto Stock Exchange,CAD,1,CAD
CP,CANADIAN PACIFIC KANSAS CITY LTD,Industrials,Equity,"395,039,715.00",2.65,"395,039,715.00","3,932,700.00",100.45,Canada,Toronto Stock Exchange,CAD,1,CAD
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,Equity,"360,166,441.32",2.42,"360,166,441.32","8,853,649.00",40.68,Canada,Toronto Stock Exchange,CAD,1,CAD
BNS,BANK OF NOVA SCOTIA,Financials,Equity,"354,911,856.75",2.38,"354,911,856.75","5,246,295.00",67.65,Canada,Toronto Stock Exchange,CAD,1,CAD
AEM,AGNICO EAGLE MINES LTD,Materials,Equity,"348,416,866.34",2.34,"348,416,866.34","2,118,422.00",164.47,Canada,Toronto Stock Exchange,CAD,1,CAD
CM,CANADIAN IMPERIAL BANK OF COMMERCE,Financials,Equity,"336,253,803.70",2.26,"336,253,803.70","3,969,470.00",84.71,Canada,Toronto Stock Exchange,CAD,1,CAD
CNR,CANADIAN NATIONAL RAILWAY,Industrials,Equity,"313,499,286.64",2.11,"313,499,286.64","2,328,772.00",134.62,Canada,Toronto Stock Exchange,CAD,1,CAD
MFC,MANULIFE FINANCIAL CORP,Financials,Equity,"304,354,942.92",2.05,"304,354,942.92","7,258,644.00",41.93,Canada,Toronto Stock Exchange,CAD,1,CAD
TRP,TC ENERGY CORP,Energy,Equity,"301,384,933.08",2.03,"301,384,933.08","4,376,778.00",68.86,Canada,Toronto Stock Exchange,CAD,1,CAD
WCN,WASTE CONNECTIONS INC,Industrials,Equity,"292,947,578.00",1.97,"292,947,578.00","1,087,004.00",269.5,United States,Toronto Stock Exchange,CAD,1,CAD
SU,SUNCOR ENERGY INC,Energy,Equity,"258,659,522.60",1.74,"258,659,522.60","5,242,390.00",49.34,Canada,Toronto Stock Exchange,CAD,1,CAD
ATD,ALIMENTATION COUCHE TARD INC,Consumer Staples,Equity,"237,142,331.64",1.59,"237,142,331.64","3,274,542.00",72.42,Canada,Toronto Stock Exchange,CAD,1,CAD
IFC,INTACT FINANCIAL CORP,Financials,Equity,"223,037,901.27",1.5,"223,037,901.27","751,197.00",296.91,Canada,Toronto Stock Exchange,CAD,1,CAD
WPM,WHEATON PRECIOUS METALS CORP,Materials,Equity,"216,222,068.95",1.45,"216,222,068.95","1,910,933.00",113.15,Canada,Toronto Stock Exchange,CAD,1,CAD
DOL,DOLLARAMA INC,Consumer Discretionary,Equity,"199,630,654.01",1.34,"199,630,654.01","1,167,499.00",170.99,Canada,Toronto Stock Exchange,CAD,1,CAD
NA,NATIONAL BANK OF CANADA,Financials,Equity,"195,646,737.17",1.31,"195,646,737.17","1,647,829.00",118.73,Canada,Toronto Stock Exchange,CAD,1,CAD
SLF,SUN LIFE FINANCIAL INC,Financials,Equity,"195,365,458.62",1.31,"195,365,458.62","2,417,291.00",80.82,Canada,Toronto Stock Exchange,CAD,1,CAD
ABX,BARRICK GOLD CORP,Materials,Equity,"192,125,566.48",1.29,"192,125,566.48","7,274,728.00",26.41,Canada,Toronto Stock Exchange,CAD,1,CAD
FNV,FRANCO NEVADA CORP,Materials,Equity,"191,173,066.92",1.28,"191,173,066.92","811,052.00",235.71,Canada,Toronto Stock Exchange,CAD,1,CAD
FFH,FAIRFAX FINANCIAL HOLDINGS SUB VOT,Financials,Equity,"189,955,319.04",1.28,"189,955,319.04","89,472.00","2,123.07",Canada,Toronto Stock Exchange,CAD,1,CAD
NTR,NUTRIEN LTD,Materials,Equity,"154,615,083.90",1.04,"154,615,083.90","2,063,185.00",74.94,Canada,Toronto Stock Exchange,CAD,1,CAD
