Fund Holdings as of,"Apr 17, 2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"RY","ROYAL BANK OF CANADA","Financials","Equity","962,324,829.56","6.57","962,324,829.56","5,980,516.00","160.91","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TD","TORONTO DOMINION","Financials","Equity","621,601,064.50","4.25","621,601,064.50","7,401,775.00","83.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","596,366,816.92","4.07","596,366,816.92","5,139,764.00","116.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ENB","ENBRIDGE INC","Energy","Equity","578,819,773.62","3.95","578,819,773.62","9,213,941.00","62.82","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","417,273,748.64","2.85","417,273,748.64","6,064,144.00","68.81","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","407,270,625.16","2.78","407,270,625.16","3,947,951.00","103.16","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BMO","BANK OF MONTREAL","Financials","Equity","398,555,963.52","2.72","398,555,963.52","3,081,936.00","129.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","390,205,423.28","2.67","390,205,423.28","83,332.00","4,682.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","358,082,969.68","2.45","358,082,969.68","2,126,636.00","168.38","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energy","Equity","354,452,722.16","2.42","354,452,722.16","8,887,982.00","39.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
